C1;C2;C3;C4;C5;C6
0,9776;0,9954;1,0151;0,0031;0,0000;0,0162
0,9735;1,0001;1,0155;0,0022;0,0000;0,0142
0,9730;1,0084;1,0200;0,0031;0,0000;0,0106
0,9740;1,0104;1,0200;0,0004;0,0000;0,0142
0,9744;1,0031;1,0200;0,0014;0,0000;0,0131
0,9730;1,0111;1,0200;0,0036;0,0000;0,0160
0,9724;1,0067;1,0200;0,0005;0,0000;0,0142
0,9712;1,0117;1,0200;0,0000;0,0000;0,0116
0,9699;1,0200;1,0189;0,0000;0,0000;0,0124
0,9714;1,0200;1,0164;0,0013;0,0000;0,0115
0,9720;1,0130;1,0108;0,0044;0,0000;0,0070
0,9704;1,0073;1,0015;0,0061;0,0000;0,0114
0,9721;1,0144;0,9955;0,0053;0,0000;0,0077
0,9725;1,0134;0,9963;0,0059;0,0000;0,0093
0,9740;1,0136;0,9965;0,0049;0,0000;0,0116
0,9751;1,0182;0,9951;0,0029;0,0000;0,0074
0,9733;1,0200;0,9844;0,0000;0,0000;0,0039
0,9721;1,0200;0,9930;0,0000;0,0000;0,0014
0,9734;1,0200;0,9984;0,0000;0,0000;0,0002
0,9745;1,0184;1,0005;0,0000;0,0000;0,0064
0,9744;1,0200;1,0094;0,0000;0,0000;0,0060
0,9745;1,0200;1,0045;0,0000;0,0018;0,0098
0,9769;1,0200;1,0136;0,0000;0,0024;0,0108
0,9756;1,0200;1,0081;0,0000;0,0053;0,0127
0,9766;1,0200;1,0089;0,0000;0,0063;0,0123
0,9761;1,0200;1,0020;0,0000;0,0084;0,0159
0,9756;1,0175;1,0019;0,0000;0,0047;0,0124
0,9777;1,0109;1,0029;0,0000;0,0032;0,0159
0,9792;1,0095;1,0002;0,0000;0,0045;0,0110
0,9808;1,0171;1,0032;0,0000;0,0081;0,0129
0,9833;1,0122;1,0053;0,0000;0,0055;0,0097
0,9833;1,0136;1,0011;0,0000;0,0000;0,0079
0,9846;1,0092;0,9984;0,0000;0,0000;0,0056
0,9839;1,0077;1,0012;0,0000;0,0014;0,0037
0,9845;0,9981;0,9973;0,0000;0,0000;0,0040
0,9841;0,9968;0,9993;0,0000;0,0000;0,0000
0,9843;0,9954;1,0049;0,0000;0,0000;0,0000
0,9854;0,9986;0,9959;0,0000;0,0000;0,0000
0,9837;1,0002;1,0022;0,0000;0,0000;0,0000
0,9878;0,9923;1,0126;0,0000;0,0000;0,0000
0,9858;1,0000;1,0113;0,0000;0,0000;0,0034
0,9833;1,0005;1,0157;0,0000;0,0000;0,0000
0,9856;1,0007;1,0200;0,0000;0,0000;0,0000
0,9872;1,0011;1,0182;0,0000;0,0000;0,0000
0,9884;0,9983;1,0184;0,0000;0,0000;0,0007
0,9896;0,9998;1,0104;0,0000;0,0000;0,0010
0,9896;1,0029;1,0109;0,0000;0,0000;0,0000
0,9878;0,9921;1,0136;0,0000;0,0000;0,0000
0,9879;0,9883;1,0129;0,0000;0,0000;0,0000
0,9865;0,9869;1,0167;0,0000;0,0000;0,0000
0,9885;0,9881;1,0117;0,0000;0,0000;0,0000
0,9882;0,9959;1,0088;0,0000;0,0005;0,0000
0,9865;0,9911;1,0197;0,0000;0,0051;0,0000
0,9859;0,9876;1,0170;0,0000;0,0015;0,0018
0,9867;0,9844;1,0163;0,0000;0,0000;0,0000
0,9856;0,9799;1,0145;0,0000;0,0000;0,0000
0,9840;0,9777;1,0086;0,0000;0,0000;0,0000
0,9845;0,9821;1,0157;0,0000;0,0000;0,0000
0,9850;0,9761;1,0135;0,0000;0,0000;0,0000
0,9840;0,9791;1,0057;0,0000;0,0000;0,0025
0,9831;0,9688;1,0038;0,0000;0,0000;0,0028
0,9836;0,9656;0,9909;0,0000;0,0019;0,0033
0,9808;0,9643;0,9869;0,0000;0,0077;0,0026
0,9780;0,9740;0,9819;0,0000;0,0084;0,0053
0,9766;0,9718;0,9877;0,0000;0,0002;0,0062
0,9762;0,9586;0,9839;0,0000;0,0013;0,0111
0,9769;0,9471;0,9853;0,0002;0,0043;0,0098
0,9799;0,9484;0,9896;0,0028;0,0051;0,0101
0,9817;0,9538;0,9939;0,0016;0,0082;0,0069
0,9814;0,9573;0,9942;0,0026;0,0087;0,0082
0,9815;0,9589;0,9957;0,0000;0,0051;0,0137
0,9795;0,9665;0,9883;0,0000;0,0015;0,0153
0,9796;0,9632;0,9897;0,0000;0,0008;0,0108
0,9791;0,9691;0,9846;0,0000;0,0042;0,0105
0,9798;0,9595;0,9898;0,0000;0,0019;0,0065
0,9782;0,9549;1,0004;0,0000;0,0034;0,0035
0,9794;0,9443;1,0015;0,0000;0,0044;0,0061
0,9825;0,9439;0,9886;0,0000;0,0092;0,0049
0,9824;0,9455;0,9868;0,0000;0,0089;0,0013
0,9833;0,9471;0,9879;0,0000;0,0034;0,0026
0,9848;0,9485;0,9889;0,0000;0,0055;0,0010
0,9841;0,9442;0,9857;0,0000;0,0118;0,0000
0,9846;0,9438;0,9860;0,0000;0,0136;0,0000
0,9847;0,9359;0,9799;0,0000;0,0109;0,0000
0,9850;0,9452;0,9735;0,0000;0,0073;0,0000
0,9836;0,9444;0,9796;0,0000;0,0044;0,0000
0,9838;0,9419;0,9747;0,0000;0,0104;0,0000
0,9849;0,9524;0,9773;0,0000;0,0092;0,0000
0,9879;0,9461;0,9735;0,0000;0,0070;0,0000
0,9899;0,9411;0,9813;0,0000;0,0064;0,0000
0,9944;0,9361;0,9765;0,0000;0,0054;0,0000
0,9930;0,9381;0,9746;0,0000;0,0101;0,0000
0,9948;0,9413;0,9773;0,0000;0,0068;0,0000
0,9953;0,9472;0,9757;0,0000;0,0103;0,0000
0,9998;0,9637;0,9784;0,0000;0,0104;0,0000
0,9984;0,9520;0,9857;0,0000;0,0138;0,0000
0,9968;0,9560;0,9878;0,0000;0,0181;0,0000
0,9958;0,9528;0,9929;0,0000;0,0177;0,0000
0,9916;0,9497;0,9912;0,0000;0,0161;0,0000
0,9907;0,9456;0,9897;0,0000;0,0158;0,0000
0,9894;0,9407;1,0005;0,0000;0,0150;0,0000
0,9898;0,9514;1,0037;0,0000;0,0095;0,0000
0,9906;0,9573;1,0014;0,0000;0,0140;0,0000
0,9945;0,9584;1,0031;0,0000;0,0143;0,0000
0,9966;0,9683;1,0013;0,0000;0,0104;0,0018
0,9956;0,9602;1,0028;0,0000;0,0039;0,0000
0,9939;0,9525;0,9943;0,0000;0,0000;0,0000
0,9951;0,9397;0,9903;0,0000;0,0000;0,0000
0,9926;0,9368;0,9961;0,0000;0,0000;0,0000
0,9964;0,9381;0,9982;0,0000;0,0000;0,0000
0,9989;0,9409;0,9858;0,0000;0,0000;0,0000
0,9982;0,9435;0,9928;0,0000;0,0000;0,0000
0,9949;0,9357;0,9988;0,0000;0,0000;0,0000
0,9978;0,9406;0,9949;0,0000;0,0004;0,0000
0,9977;0,9438;0,9996;0,0000;0,0004;0,0000
1,0003;0,9491;0,9958;0,0000;0,0000;0,0000
0,9973;0,9394;0,9947;0,0000;0,0000;0,0013
0,9963;0,9413;0,9996;0,0000;0,0000;0,0019
0,9965;0,9348;0,9985;0,0021;0,0000;0,0098
0,9967;0,9336;0,9873;0,0025;0,0000;0,0050
0,9960;0,9379;0,9868;0,0008;0,0072;0,0055
0,9974;0,9393;0,9876;0,0000;0,0085;0,0000
0,9954;0,9356;0,9940;0,0000;0,0125;0,0008
0,9953;0,9361;0,9931;0,0016;0,0144;0,0051
0,9957;0,9279;0,9911;0,0000;0,0129;0,0080
0,9969;0,9362;0,9942;0,0036;0,0126;0,0047
0,9985;0,9363;0,9968;0,0031;0,0195;0,0082
0,9964;0,9446;0,9929;0,0037;0,0171;0,0089
0,9935;0,9417;1,0007;0,0031;0,0136;0,0068
0,9963;0,9386;1,0006;0,0040;0,0096;0,0055
0,9971;0,9358;0,9996;0,0035;0,0091;0,0009
0,9958;0,9424;0,9995;0,0056;0,0057;0,0055
0,9990;0,9386;0,9956;0,0051;0,0115;0,0046
0,9994;0,9445;0,9918;0,0063;0,0117;0,0090
1,0020;0,9432;0,9933;0,0046;0,0147;0,0114
1,0023;0,9330;0,9919;0,0046;0,0128;0,0093
1,0066;0,9308;0,9957;0,0039;0,0090;0,0119
1,0102;0,9261;0,9961;0,0057;0,0047;0,0124
1,0099;0,9287;0,9990;0,0036;0,0027;0,0076
1,0120;0,9226;0,9995;0,0028;0,0032;0,0086
1,0135;0,9301;1,0030;0,0024;0,0046;0,0056
1,0164;0,9312;1,0065;0,0007;0,0063;0,0113
1,0146;0,9321;1,0063;0,0015;0,0012;0,0144
1,0161;0,9366;1,0060;0,0012;0,0017;0,0121
1,0184;0,9439;1,0019;0,0034;0,0000;0,0156
1,0151;0,9454;1,0059;0,0005;0,0011;0,0091
1,0129;0,9406;1,0056;0,0015;0,0018;0,0075
1,0089;0,9302;1,0015;0,0010;0,0000;0,0068
1,0086;0,9261;1,0041;0,0037;0,0019;0,0122
1,0101;0,9235;0,9964;0,0042;0,0101;0,0096
1,0133;0,9259;0,9934;0,0038;0,0125;0,0055
1,0136;0,9260;0,9991;0,0053;0,0116;0,0014
1,0170;0,9315;1,0004;0,0038;0,0109;0,0049
1,0144;0,9299;1,0013;0,0037;0,0095;0,0032
1,0111;0,9300;1,0018;0,0029;0,0070;0,0025
1,0112;0,9372;1,0024;0,0038;0,0074;0,0043
1,0121;0,9403;0,9962;0,0006;0,0043;0,0041
1,0122;0,9412;0,9951;0,0000;0,0000;0,0029
1,0082;0,9385;1,0032;0,0000;0,0000;0,0032
1,0081;0,9345;0,9989;0,0037;0,0000;0,0033
1,0057;0,9305;0,9960;0,0043;0,0000;0,0022
1,0071;0,9276;0,9921;0,0085;0,0000;0,0027
1,0080;0,9338;0,9909;0,0088;0,0000;0,0049
1,0063;0,9338;0,9895;0,0070;0,0000;0,0024
1,0054;0,9262;0,9920;0,0103;0,0000;0,0000
1,0034;0,9378;0,9910;0,0118;0,0024;0,0000
1,0034;0,9401;0,9978;0,0094;0,0051;0,0003
1,0054;0,9326;0,9929;0,0099;0,0003;0,0031
1,0036;0,9317;0,9892;0,0094;0,0000;0,0018
1,0047;0,9329;0,9879;0,0057;0,0000;0,0000
1,0037;0,9445;0,9905;0,0071;0,0000;0,0013
1,0023;0,9385;0,9894;0,0082;0,0000;0,0045
1,0022;0,9449;0,9925;0,0126;0,0000;0,0046
1,0002;0,9541;1,0000;0,0125;0,0000;0,0126
0,9992;0,9504;0,9970;0,0111;0,0000;0,0086
0,9969;0,9491;0,9934;0,0130;0,0000;0,0085
1,0009;0,9430;0,9904;0,0149;0,0000;0,0042
1,0011;0,9439;1,0020;0,0176;0,0000;0,0065
0,9998;0,9446;0,9997;0,0168;0,0000;0,0034
1,0003;0,9490;1,0079;0,0161;0,0045;0,0000
